City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,saint-philippe,-21.3585,55.7679,297.92,79,100,4.76,RE,1683566758
297,ascension,30.2169,-90.9001,301.49,78,100,2.06,US,1683566937
298,turpan,42.9333,89.1667,293.44,24,47,6.02,CN,1683567207
299,khovd,48.0056,91.6419,276.03,66,47,2.91,MN,1683566976
300,changji,44.0167,87.3167,288.59,36,0,2.0,CN,1683567207
301,baoro,5.6667,15.9667,298.17,67,57,1.6,CF,1683567208
302,praia da vitoria,38.7333,-27.0667,291.29,94,20,0.84,PT,1683566765
303,hickam field,21.338,-157.9588,297.9,72,20,5.14,US,1683567208
304,buala,-8.145,159.5921,300.08,84,89,1.12,SB,1683566755
305,chernyshevskiy,63.0128,112.4714,268.39,93,100,2.13,RU,1683566898
306,el hamma,33.8915,9.7963,292.77,51,81,12.24,TN,1683567209
307,naze,28.3667,129.4833,292.66,69,39,7.13,JP,1683566813
308,cuatro cienegas de carranza,26.9833,-102.0833,305.91,25,100,3.39,MX,1683567210
309,pendleton,45.6721,-118.7886,289.82,66,100,2.24,US,1683567023
310,sebin karahisar,40.2883,38.4236,280.12,95,100,1.84,TR,1683567210
311,moussoro,13.6408,16.4901,308.34,9,83,3.34,TD,1683567211
312,illizi,26.4833,8.4667,310.04,10,100,9.0,DZ,1683567010
313,east london,-33.0153,27.9116,291.67,88,0,5.14,ZA,1683566723
314,lubango,-14.9172,13.4925,291.62,50,54,0.63,AO,1683567211
315,antsiranana,-12.2787,49.2917,298.42,78,0,5.99,MG,1683566673
316,la passe,45.5549,-0.8967,293.28,71,100,1.81,FR,1683566757
317,seven pagodas,12.6264,80.1722,303.18,79,73,3.64,IN,1683567212
318,fort bragg,35.139,-79.006,300.07,58,75,4.47,US,1683566675
319,tabora,-5.0167,32.8,297.03,73,20,0.0,TZ,1683567213
320,vangaindrano,-23.35,47.6,293.76,96,9,0.8,MG,1683567213
321,mount isa,-20.7333,139.5,286.02,24,10,3.09,AU,1683566959
322,mapimi,25.8167,-103.85,303.26,8,17,0.47,MX,1683567214
323,tukrah,32.5341,20.5791,293.36,56,55,6.03,LY,1683567214
324,new norfolk,-42.7826,147.0587,283.1,71,100,0.89,AU,1683566728
325,prado,-17.3411,-39.2208,300.27,73,21,3.6,BR,1683566874
326,viedma,-40.8135,-62.9967,290.48,43,45,3.84,AR,1683567026
327,ulladulla,-35.35,150.4667,283.13,79,60,4.02,AU,1683566900
328,priozersk,61.0393,30.1291,279.24,54,35,4.03,RU,1683567215
329,reyes,-14.3167,-67.3833,299.24,83,75,0.0,BO,1683566877
330,nemuro,43.3236,145.575,275.19,88,83,4.41,JP,1683566694
331,sidi bennour,32.6524,-8.4277,299.88,38,2,9.18,MA,1683567216
332,santiago de cao,-7.9589,-79.2392,299.22,69,0,4.63,PE,1683567217
333,pointe michel,15.25,-61.3833,305.67,51,20,2.06,DM,1683567217
334,hirara,24.8,125.2833,295.07,88,75,9.26,JP,1683566808
335,hammerfest,70.6634,23.6821,274.4,93,75,0.0,NO,1683566718
336,roxas,11.5853,122.7511,298.23,75,67,2.09,PH,1683567218
337,mogadishu,2.0371,45.3438,300.2,85,6,8.28,SO,1683566989
338,glace bay,46.1969,-59.957,282.4,89,75,2.57,CA,1683567218
339,tebessa,35.4042,8.1242,287.75,67,75,7.2,DZ,1683567219
340,waingapu,-9.6567,120.2641,300.26,81,100,9.97,ID,1683567219
341,kristiansund,63.1115,7.732,287.51,44,75,2.06,NO,1683566800
342,loralai,30.3705,68.598,294.25,14,0,3.06,PK,1683567220
343,garoowe,8.4054,48.4845,302.37,54,66,7.9,SO,1683567220
344,oamaru,-45.0784,170.9801,285.03,94,100,2.02,NZ,1683567221
345,laxey,54.2302,-4.3999,283.96,92,97,3.0,IM,1683567221
346,acarau,-2.8856,-40.12,302.68,71,98,3.36,BR,1683566606
347,amga,60.8953,131.9608,267.65,83,99,1.58,RU,1683566951
348,usinsk,65.9939,57.5281,272.96,98,99,8.01,RU,1683567222
349,fort st. john,56.2499,-120.8529,283.09,71,75,4.12,CA,1683566673
350,opuwo,-18.0607,13.84,299.12,23,2,3.52,NA,1683566969
351,mejit,10.2753,170.8646,300.61,81,100,5.77,MH,1683566828
352,binzhou,37.3667,118.0167,289.0,26,26,2.81,CN,1683567223
353,changqing,36.5575,116.7272,288.05,39,70,4.02,CN,1683567224
354,saipan,15.1355,145.701,300.54,100,0,5.66,MP,1683566668
355,zalingei,12.9096,23.4741,305.61,20,63,2.61,SD,1683567224
356,kainantu,-6.2887,145.8655,289.19,98,100,0.76,PG,1683567225
357,yelizovo,53.1873,158.3805,276.23,69,75,1.0,RU,1683566902
358,boxmeer,51.6467,5.9472,293.18,77,0,2.57,NL,1683567225
359,narrabri,-30.3167,149.7833,277.45,75,0,2.19,AU,1683567226
